location,type,name
MG Road,Desserts,33
MG Road,Dine-out,211
MG Road,Drinks & nightlife,42
MG Road,Pubs and bars,26
Malleshwaram,Buffet,11
Malleshwaram,Cafes,24
Malleshwaram,Delivery,195
Malleshwaram,Desserts,61
Malleshwaram,Dine-out,229
Malleshwaram,Drinks & nightlife,18
Malleshwaram,Pubs and bars,12
Marathahalli,Buffet,33
Marathahalli,Cafes,28
Marathahalli,Delivery,797
Marathahalli,Desserts,89
Marathahalli,Dine-out,558
Marathahalli,Drinks & nightlife,20
Marathahalli,Pubs and bars,2
New BEL Road,Buffet,4
New BEL Road,Cafes,29
New BEL Road,Delivery,277
New BEL Road,Desserts,33
New BEL Road,Dine-out,223
New BEL Road,Drinks & nightlife,8
New BEL Road,Pubs and bars,8
Old Airport Road,Buffet,11
Old Airport Road,Cafes,5
Old Airport Road,Delivery,146
Old Airport Road,Desserts,28
Old Airport Road,Dine-out,136
Old Airport Road,Drinks & nightlife,12
Old Airport Road,Pubs and bars,9
Rajajinagar,Buffet,9
Rajajinagar,Cafes,4
Rajajinagar,Delivery,195
Rajajinagar,Desserts,43
Rajajinagar,Dine-out,194
Rajajinagar,Drinks & nightlife,3
Rajajinagar,Pubs and bars,10
Residency Road,Buffet,13
Residency Road,Cafes,17
Residency Road,Delivery,95
Residency Road,Desserts,34
Residency Road,Dine-out,167
Residency Road,Drinks & nightlife,39
Residency Road,Pubs and bars,16
Richmond Road,Buffet,31
Richmond Road,Cafes,11
Richmond Road,Delivery,90
Richmond Road,Desserts,30
Richmond Road,Dine-out,148
Richmond Road,Drinks & nightlife,4
Richmond Road,Pubs and bars,6
Sarjapur Road,Buffet,21
Sarjapur Road,Cafes,19
Sarjapur Road,Delivery,436
Sarjapur Road,Desserts,71
Sarjapur Road,Dine-out,282
Sarjapur Road,Drinks & nightlife,19
Sarjapur Road,Pubs and bars,22
Shanti Nagar,Buffet,5
Shanti Nagar,Cafes,9
Shanti Nagar,Delivery,82
Shanti Nagar,Desserts,22
Shanti Nagar,Dine-out,92
Shanti Nagar,Drinks & nightlife,6
Shanti Nagar,Pubs and bars,1
St. Marks Road,Buffet,2
St. Marks Road,Cafes,6
St. Marks Road,Delivery,71
St. Marks Road,Desserts,7
St. Marks Road,Dine-out,87
St. Marks Road,Drinks & nightlife,34
St. Marks Road,Pubs and bars,20
Ulsoor,Buffet,12
Ulsoor,Cafes,29
Ulsoor,Delivery,199
Ulsoor,Desserts,31
Ulsoor,Dine-out,199
Ulsoor,Drinks & nightlife,16
Ulsoor,Pubs and bars,14
Whitefield,Buffet,26
Whitefield,Cafes,48
Whitefield,Delivery,863
Whitefield,Desserts,116
Whitefield,Dine-out,678
Whitefield,Drinks & nightlife,41
Whitefield,Pubs and bars,33
others,Buffet,60
others,Cafes,97
others,Delivery,1775
others,Desserts,217
others,Dine-out,1253
others,Drinks & nightlife,58
others,Pubs and bars,37
